EmployeeID,Date,Steps,ActiveMinutes,CaloriesBurned,DistanceKm,SleepHours,HydrationLiters,,StreakLength,ChallengesCompleted,BadgesEarned,LeaderboardRank,PointsEarned
57344a98-d39b-4232-872f-4671c8b946c3,2024-12-15T20:16:35.442Z,7573,71,638,13.55684674,6.582387241,3.489205734,,20,5,4,100,204
f541b271-bd7c-47d6-b884-d5d1a290a9b8,2025-03-05T12:29:19.867Z,6570,146,512,11.03354971,5.87980808,3.467865931,,20,2,3,81,91
5b615ce3-50e9-4c82-907f-502842e2cd09,2025-04-30T00:39:33.840Z,11616,111,456,2.136671344,5.645322988,3.869223257,,19,2,7,81,377
ea3c2388-fbae-4e38-8cf6-f67227d71bce,2025-04-09T08:22:23.722Z,18210,82,637,5.155576746,6.751533788,3.549533146,,12,4,4,39,194
0589cb1d-d9a5-4a32-96e7-8e6dd0bc2ed9,2025-03-17T01:59:52.671Z,5140,121,192,2.820921694,6.669381928,3.239362467,,22,3,1,87,256
e9e0b670-d99b-40e3-b2a0-729339475951,2025-05-19T17:30:55.812Z,9957,15,319,12.98629094,6.889944706,1.184180706,,17,4,9,16,384
de128592-ad90-4ad4-9692-01f21415634c,2024-11-13T02:13:49.130Z,6868,40,433,11.24239251,6.776137308,1.47812837,,9,2,8,29,357
1beeb089-df2f-4b51-8916-1caf5d6a0de7,2024-09-14T10:04:25.677Z,2313,102,233,13.59636906,5.975102769,0.76128561,,19,4,7,66,140
73614a2b-f259-4705-a131-137c84e582f5,2025-04-03T04:00:26.093Z,2438,16,712,12.30464134,7.537005999,1.831576135,,13,3,2,26,408
dbc99e6b-1b14-4c6c-b227-be2268c5e024,2025-03-12T12:53:35.054Z,8240,77,462,2.178137968,4.452212053,0.856506374,,20,1,1,39,235
7452df3c-677c-4141-9a6e-2f1165db9ff1,2025-03-29T12:06:16.931Z,8332,138,227,13.62467809,7.726860015,1.941478014,,17,5,7,91,384
75703d9f-ed3d-4280-a08f-9d63296b1d15,2025-07-30T14:24:34.469Z,2672,42,549,1.630216093,8.208529796,3.45207522,,5,1,9,43,53
1cdea048-fd88-4709-88cb-a136d840040c,2025-05-13T01:14:17.415Z,5381,125,279,3.930554801,8.379316448,1.300711404,,20,4,7,24,41
5628ff62-c114-4b96-ae5b-f99cfaee1dc5,2025-08-27T01:21:39.528Z,2927,109,343,3.197362324,5.566261308,2.503060573,,16,1,1,77,78
abb83a9d-017b-4abc-a410-8492c190b83c,2025-07-14T01:35:58.215Z,16244,115,321,1.722043956,5.023109123,1.245513505,,4,1,9,66,61
518ce214-be84-46d1-bf07-b0d6aed87348,2024-09-25T10:55:21.229Z,10700,127,596,9.662768677,5.56439741,0.938151686,,2,3,10,1,215
e12c9e7e-6ee6-4529-a4cc-ae510d8311c3,2025-05-14T04:10:35.315Z,16052,176,525,10.60206475,6.564058155,1.145942043,,24,4,3,12,226
51c31882-ad35-4c19-b4b5-507b49242f3c,2024-09-16T14:06:04.571Z,7201,132,461,1.112476742,5.740994488,3.330066841,,7,5,1,85,480
78782a86-375c-4c86-be3a-82fbe8dd7db3,2025-05-11T18:16:33.903Z,3662,38,220,10.1475853,8.059658006,2.159902697,,2,3,2,97,159
2b2e9e07-7788-4685-8028-1d3dbbb76913,2024-12-02T02:25:19.189Z,16595,175,268,6.02466391,4.996589324,1.076415274,,21,1,3,15,388
f581b8eb-83dc-4e6d-a59d-4da7f9f3af3f,2025-08-11T07:54:48.833Z,10754,45,335,9.07639096,6.487996594,2.545101609,,4,5,6,55,136
15d24772-279e-413a-b087-0a1306415009,2025-08-27T00:35:04.096Z,18802,173,297,13.19361576,4.988158585,1.586085782,,4,2,4,30,400
e74f8ee1-3778-45c4-877e-161bb6be0d11,2025-08-10T21:24:06.785Z,2661,148,416,7.778477373,5.454046275,2.987461558,,2,5,2,90,378
bffddfa1-caab-4656-9480-7546ccc4c742,2025-02-20T07:51:49.627Z,15021,151,558,11.57598259,7.582306086,0.919256439,,15,1,3,73,497
cf682a72-9165-4b62-bd18-75ae59fdc793,2025-03-12T05:51:02.847Z,16036,107,418,2.008639486,5.220580763,1.996482606,,22,2,10,54,193
c5fd7e68-6b05-4a2e-86f2-d5cdec4dbfad,2025-02-23T05:06:34.720Z,6724,102,751,13.38607787,5.69518491,2.401795295,,1,5,7,74,391
fb23d4ab-53df-474c-8489-92c96d08a0e0,2025-04-07T06:47:18.439Z,7676,20,490,8.660734646,6.736449536,2.103046787,,2,4,4,52,210
2ecbea14-d8e1-45a3-9512-109b9ceaadfa,2025-04-25T16:48:24.816Z,12108,138,543,13.99321506,8.190665019,1.328259296,,21,1,10,4,241
5f72505c-2dd5-414e-b0e3-895145a74673,2025-07-21T22:28:28.115Z,16272,167,190,3.410160189,7.057799538,2.740221961,,1,4,6,10,35
e57eef4c-6374-40f2-ac02-7850f3bf21b3,2025-06-09T12:52:57.743Z,3853,60,269,7.880341046,7.910397647,1.715732792,,14,5,8,8,237
9c206701-6d7b-4df2-9499-5529a4aad868,2025-08-25T08:02:28.331Z,4357,18,306,10.74735607,7.775627195,3.779811206,,23,5,6,59,487
47506fc3-ef61-4146-8aca-378f742d762d,2025-08-10T01:11:38.761Z,17437,90,386,1.419568872,5.277478698,3.787289419,,13,3,1,55,252
8898c2d7-2895-48e6-b122-22d549311cac,2025-03-29T08:50:11.910Z,8549,161,282,14.85917099,8.427014801,2.009621688,,15,1,7,58,267
f9a70ffa-9348-4a54-bb85-be5d2cc7f92a,2025-07-03T04:44:09.787Z,10341,68,249,13.11577026,4.19148751,3.104969294,,28,2,6,59,251
534bac06-f30a-4c1f-981b-cc52ad322f21,2024-12-18T08:17:11.082Z,17729,47,288,5.264858247,5.764862218,2.789222402,,20,3,10,78,59
ac948c7b-6cc6-4f36-8fd9-69a952c15f49,2025-01-05T15:19:04.820Z,11288,81,392,11.32236837,7.600409318,3.677415449,,25,1,3,12,119
a81f4b2c-9e64-42e3-9d33-d5b1a2be1645,2025-01-01T08:27:46.808Z,12387,31,210,4.541401836,5.777149684,0.557727591,,10,2,1,54,452
ce0a28fb-6215-4a21-87ba-6beaf6960364,2025-06-20T03:16:49.938Z,15722,70,560,3.401699965,7.266858299,1.639316796,,4,4,3,39,418
80ae167d-2f5c-45bf-9da6-3eb5de2a8063,2024-12-20T05:24:44.507Z,2533,41,419,6.87429011,5.918672499,1.59702807,,30,2,6,14,164
2e583fe9-e09a-40c0-8c86-6ea6796c51ee,2024-11-15T16:59:13.947Z,6538,44,493,13.59597281,5.472436701,0.538728836,,25,3,2,53,312
82fb997f-9e61-4fd3-aab0-411d8c1d40b0,2024-09-28T05:48:34.969Z,12352,153,537,7.878488035,7.530646168,2.723960917,,20,5,8,87,305
d939510c-b8b7-4fca-bb7c-39c5bd56d1a2,2025-03-10T13:40:42.971Z,3658,135,204,10.92620369,5.285724812,0.572160178,,15,2,4,57,465
9a623603-3c41-4953-a9e4-a75212e41daf,2025-06-09T22:45:57.891Z,13524,62,253,14.96599609,6.401577299,1.416451714,,4,2,9,23,94
6f33c17e-47ab-4412-8b39-1c412976bff2,2025-07-28T23:39:09.564Z,2380,23,765,8.071140536,5.756480357,3.378393654,,25,4,8,15,44
5284a4d8-399a-40fc-b93c-0bbde85e37b2,2025-02-18T14:28:24.011Z,17598,147,260,5.319062341,7.288877272,2.358406849,,28,3,3,32,348
92a28124-084f-4d38-a764-c60060e47847,2024-10-29T05:23:56.240Z,8926,154,707,7.270821935,4.749071768,1.965234453,,30,4,10,73,84
f80fd68f-fb5a-465e-a70f-3497327c8e9e,2024-11-20T13:41:15.555Z,17731,100,182,14.70131837,7.982417873,0.779238884,,15,5,8,85,49
ac547709-d845-42c7-92e0-ee3b94499eae,2025-08-20T03:53:39.798Z,16795,81,418,2.810637894,7.249761965,2.573879669,,15,3,9,16,188
22f27e74-9a2a-4525-8abc-f42d2988d84c,2025-01-16T23:09:02.980Z,10036,13,359,4.844983557,4.66868477,1.384110659,,28,1,10,18,323
11656a60-d6c3-4442-82bb-3e493c01bf22,2025-06-26T21:49:26.706Z,12006,31,280,10.08515936,7.868539005,2.637760489,,22,4,2,92,134
3dd55f18-a64e-4d3e-8390-af71ddd0889d,2025-01-26T13:17:13.890Z,16775,37,787,5.718106271,7.759376198,3.221407005,,17,4,8,96,453
853bdbb7-c1a1-4f79-bed6-7913463d267d,2025-01-05T22:12:54.129Z,6826,72,700,3.988843894,8.936524938,0.587493555,,21,1,7,80,308
519a65b1-cae5-453a-bd95-a054c741eacb,2025-08-04T23:11:24.103Z,17615,138,453,4.195764296,5.437452902,3.205259552,,10,3,6,21,494
99114295-9b1e-4d0d-80be-e9c81bab57b9,2024-11-27T17:48:02.936Z,14286,44,628,14.4825911,8.385180366,1.891128499,,23,4,7,63,55
6c21edfa-ab8c-4787-b5b8-b7a0be9d9db7,2025-04-18T17:55:20.790Z,3035,73,553,7.840066087,6.182523083,2.76973619,,22,3,4,48,247
8c4a1386-a34e-4300-bc00-95907991d92a,2024-10-28T15:13:31.603Z,12364,172,166,4.543918129,5.940455368,2.887057771,,30,3,5,76,211
467c4111-09cc-408b-8a83-3704d086f041,2024-10-16T12:32:58.774Z,16934,89,384,9.262209117,4.392964024,2.281596863,,7,5,10,88,280
1eb56d89-828e-433b-aa24-8c08660b4737,2024-12-02T01:19:48.849Z,18450,122,426,6.043995176,7.982282165,0.990610166,,16,2,10,14,67
6cf0b6cd-55e9-406d-ba9a-d22d5801110b,2025-02-24T23:17:34.797Z,13860,102,777,9.393319447,4.908413177,0.547222411,,29,1,5,20,232
ecd6815a-0394-4245-9c25-3b89833f5981,2024-11-28T15:10:17.651Z,9067,112,281,7.431105883,8.998942548,3.756213475,,4,2,8,62,341
f540b2c4-302e-4a30-871a-d6455458eb7e,2025-01-11T23:49:12.057Z,19076,120,150,7.139191789,4.514798915,0.756586429,,6,2,7,86,175
7f07a9b4-795d-45e5-a6a3-0760116a767a,2024-09-29T11:54:57.350Z,13864,148,495,11.47519576,7.788056914,3.037142921,,27,5,5,84,354
4cedca0e-87cf-4142-a911-ab64377f7fb3,2025-02-28T21:49:11.464Z,19824,26,670,6.212834659,4.842500785,1.295195152,,4,5,5,66,242
358247f5-839f-4348-81f7-b174d626f5df,2024-11-13T18:21:05.261Z,9899,177,410,7.776737031,6.166462329,3.588955241,,15,3,5,63,197
024db908-c4e2-4e8d-b69f-bc9f5dbe426b,2025-01-31T12:22:39.934Z,8747,27,800,8.097134037,7.696821283,1.451144481,,4,2,5,58,235
b6419e0a-fa9b-4734-a50f-f3bb038c313a,2024-11-17T23:43:20.520Z,4354,155,381,11.17909765,6.937755911,1.475864127,,20,2,5,8,241
2e661d23-f5fa-4f3d-af0e-231ca7562e63,2025-04-26T09:56:24.840Z,5769,77,746,10.59502312,4.578861408,1.196230448,,26,1,7,89,189
a22c52d9-043c-48b9-8f78-4c7cc9b40862,2025-04-21T18:30:50.303Z,3449,55,403,1.364670347,5.743719692,2.251954806,,25,1,3,80,158
b1f2c764-bdf4-4b6d-a21d-b5fa616df40a,2025-02-04T11:10:17.807Z,15150,108,767,1.815550544,7.537088853,3.755679597,,17,4,5,69,49
276a6864-5021-4459-89f9-0b9d666f7b2f,2024-08-30T03:07:50.965Z,15434,91,151,13.53477323,4.509582532,2.563061503,,23,2,8,68,145
83c31c4b-7b1a-4cd1-80d8-75854d5cfa95,2025-01-20T14:03:42.738Z,18806,17,501,11.96088362,6.049839421,3.806295311,,6,4,2,3,353
516037ed-cdfa-4d80-bbea-6af24892f558,2025-01-26T15:24:48.238Z,7599,129,187,11.11934618,8.96770407,2.030328311,,14,5,10,42,449
7d511fee-512e-4733-b98d-54ee2c3ed0ef,2025-02-13T16:45:53.262Z,13429,53,217,10.46578389,8.309883689,3.046238884,,16,1,6,48,13
